id,title length,tags count,max tag popularity (besides java),avg tag popularity,min tag popularity,total code %,java %,json %,xml %,stack traces %,length,words count,day of week,reputation,acceptance rate,intercalations,score,number of answers,max answer score,avg answer score,min answer score,number of comments,max answer length,avg answer length,min answer length,has accepted answer
10002610,45,5,24470,204838.8,508,0.5181236673773987,0.5181236673773987,0.0,0.0,0.0,469,41,Tuesday,215,-,2,2,1,2,2.0,2,0,3029,3029.0,3029,1
10003995,59,3,770768,593906.6666666666,23652,0.3,0.3,0.0,0.0,0.0,220,27,Wednesday,879,-,1,0,3,1,0.3333333333333333,0,5,446,308.0,207,1
10009006,83,3,16394,334926.0,1084,0.0,0.0,0.0,0.0,0.0,384,79,Wednesday,135,-,0,1,1,2,2.0,2,5,406,406.0,406,0
10011587,58,4,78258,280152.75,23894,0.665079365079365,0.665079365079365,0.0,0.0,0.0,1260,71,Wednesday,2668,-,2,0,1,1,1.0,1,0,588,588.0,588,1
10013250,40,4,48545,263946.5,2104,0.5614973262032086,0.0,0.0,0.5614973262032086,0.0,374,34,Wednesday,7662,-,2,1,3,2,0.6666666666666666,0,1,1379,944.3333333333334,186,1
10015647,34,3,2607,330199.3333333333,691,0.0,0.0,0.0,0.0,0.0,1013,173,Wednesday,3595,-,0,4,2,4,3.0,2,0,1109,647.0,185,1
10019050,65,3,33869,341324.3333333333,2804,0.3772893772893773,0.27106227106227104,0.0,0.0,0.0,546,70,Wednesday,108,-,6,6,1,19,19.0,19,2,427,427.0,427,1
1002926,44,2,5663,496481.5,5663,0.4921369102682701,0.4921369102682701,0.0,0.0,0.0,1081,105,Tuesday,26442,-,5,7,2,4,3.0,2,1,1433,849.5,266,0
10029650,40,3,139009,418259.3333333333,128469,0.5647249190938511,0.0,0.23300970873786409,0.33171521035598706,0.0,618,53,Thursday,6,-,6,-3,3,4,1.6666666666666667,0,0,431,201.0,78,0
10030420,81,3,78258,355551.0,1095,0.9062135922330097,0.0,0.0,0.13805825242718447,0.7681553398058253,5150,76,Thursday,1122,-,4,1,0,-,-,-,7,-,-,-,0
10042618,51,4,50633,261329.75,3197,0.7392703862660944,0.7392703862660944,0.0,0.0,0.0,932,43,Friday,1318,-,4,1,2,1,1.0,1,0,560,432.5,305,1
10046762,30,4,57549,262864.5,1257,0.8231540565177757,0.8231540565177757,0.0,0.0,0.0,1097,41,Friday,119,-,1,4,2,4,2.0,0,4,781,632.0,483,1
10047356,46,3,1212,329536.6666666667,98,0.5021367521367521,0.5021367521367521,0.0,0.0,0.0,468,47,Friday,447,-,2,1,2,0,0.0,0,8,1033,563.0,93,0
10057382,76,5,203975,286698.0,18191,0.0,0.0,0.0,0.0,0.0,243,51,Saturday,380,-,0,4,3,1,0.6666666666666666,0,2,580,361.0,117,1
10060674,22,3,1016740,831022.6666666666,489028,0.6452648475120385,0.0,0.0,0.6452648475120385,0.0,623,43,Sunday,652,-,2,2,2,7,3.5,0,1,328,266.0,204,1
10065536,39,5,134456,244507.4,4189,0.0,0.0,0.0,0.0,0.0,726,135,Sunday,230,-,0,3,3,4,2.0,1,3,2114,1109.0,469,1
10066020,60,3,24508,338017.6666666667,2245,0.20933521923620935,0.20933521923620935,0.0,0.0,0.0,707,107,Sunday,89,-,2,4,3,6,4.0,1,3,1103,623.6666666666666,233,1
10069864,66,5,514084,310306.4,1596,0.7662897145934303,0.5078082929456113,0.0,0.10527732902530965,0.0,3714,164,Monday,590,-,16,4,1,1,1.0,1,2,140,140.0,140,0
10072367,94,4,50633,263305.25,3615,0.0,0.0,0.0,0.0,0.0,359,52,Monday,1093,-,0,14,1,32,32.0,32,0,1135,1135.0,1135,1
10072384,22,3,18958,335481.6666666667,187,0.0,0.0,0.0,0.0,0.0,274,50,Monday,1271,-,0,0,1,2,2.0,2,0,298,298.0,298,1
10074766,57,4,770768,449087.0,292,0.6704089815557338,0.6704089815557338,0.0,0.0,0.0,1247,69,Monday,5474,-,4,1,2,1,1.0,1,2,635,390.0,145,1
10082677,40,5,770768,358506.6,4122,0.9384732244587922,0.05545005696923661,0.0,0.0,0.0,2633,28,Tuesday,990,-,4,0,4,1,0.25,0,9,303,201.75,108,1
10086741,43,3,48545,346594.6666666667,3939,0.5735099337748344,0.5735099337748344,0.0,0.0,0.0,755,55,Tuesday,117,-,1,0,1,2,2.0,2,0,236,236.0,236,1
10110581,36,5,93115,217321.2,1157,0.0,0.0,0.0,0.0,0.0,855,121,Wednesday,3334,-,0,0,1,2,2.0,2,0,272,272.0,272,1
10115310,70,2,770768,879034.0,770768,0.8592859285928592,0.6237623762376238,0.0,0.23552355235523553,0.0,3333,88,Wednesday,118,-,4,0,1,0,0.0,0,1,84,84.0,84,1
10120696,53,2,4135,495717.5,4135,0.0,0.0,0.0,0.0,0.0,394,65,Thursday,904,-,0,0,1,0,0.0,0,0,389,389.0,389,1
10125910,72,2,93115,540207.5,93115,0.9330922242314648,0.9330922242314648,0.0,0.0,0.0,553,8,Thursday,207,-,2,0,1,0,0.0,0,0,397,397.0,397,0
10130047,23,3,1016740,668114.0,302,0.0,0.0,0.0,0.0,0.0,1108,204,Thursday,1543,-,0,3,1,3,3.0,3,0,2617,2617.0,2617,1
10136193,36,1,0,987300.0,987300,0.7358333333333333,0.7358333333333333,0.0,0.0,0.0,1200,72,Friday,116,-,4,3,2,2,1.5,1,6,839,696.0,553,0
10136567,23,3,14815,334153.3333333333,345,0.8863322595490106,0.6976530142659917,0.0,0.18867924528301888,0.0,6519,148,Friday,7275,-,6,0,1,1,1.0,1,1,136,136.0,136,0
10154865,34,4,770768,452240.25,11118,0.07152875175315568,0.07152875175315568,0.0,0.0,0.0,713,123,Saturday,82,-,4,0,2,1,0.5,0,4,350,278.0,206,1
10158053,62,2,4599,495949.5,4599,0.7958333333333333,0.7958333333333333,0.0,0.0,0.0,960,38,Saturday,1626,-,1,0,1,2,2.0,2,1,101,101.0,101,1
10158272,50,4,1016740,624987.0,6880,0.0,0.0,0.0,0.0,0.0,498,100,Saturday,8,-,0,1,1,1,1.0,1,3,688,688.0,688,1
