id,title length,tags count,max tag popularity (besides java),avg tag popularity,min tag popularity,total code %,java %,json %,xml %,stack traces %,length,words count,Coleman-Liau Index,Flesch Reasing Ease Score,Flesch-Kincaid Grade Level,Automated Readability Index,Gunning Fog Index,SMOG Grade,day of week,reputation,intercalations,score,number of answers,max answer score,avg answer score,min answer score,number of comments,max answer length,avg answer length,min answer length,has accepted answer
10002610,45,5,24470,204838.8,508,0.5181236673773987,0.5181236673773987,0.0,0.0,0.0,469,41,2.828533333333331,46.12425000000002,28.49904166666668,4.807799999999999,3.5666666666666673,5.3375522303147696,2,215,2,2,1,2,2.0,2,0,3029,3029.0,3029,1
10003995,59,3,770768,593906.6666666666,23652,0.3,0.3,0.0,0.0,0.0,220,27,4.482692307692304,87.67238461538463,2.3226153846153856,2.0026923076923104,2.08,3.0,3,879,1,0,3,1,0.3333333333333333,0,5,446,308.0,207,1
10009006,83,3,16394,334926.0,1084,0.0,0.0,0.0,0.0,0.0,384,79,3.9287955465587032,90.99765182186236,62.65265182186236,3.605374493927127,6.350877192982456,4.58113883008419,3,135,0,1,1,2,2.0,2,5,406,406.0,406,0
10011587,58,4,78258,280152.75,23894,0.665079365079365,0.665079365079365,0.0,0.0,0.0,1260,71,20.778742069128782,41.002856889204566,40.76220259232957,16.17609694602273,9.280160984848486,8.53092095673136,3,2668,2,0,1,1,1.0,1,0,588,588.0,588,1
10013250,40,4,48545,263946.5,2104,0.5614973262032086,0.0,0.0,0.5614973262032086,0.0,374,34,3.0797619047619023,100.24125000000001,78.0794642857143,1.5771428571428556,4.5,3.0,3,7662,2,1,3,2,0.6666666666666666,0,1,1379,944.3333333333334,186,1
10015647,34,3,2607,330199.3333333333,691,0.0,0.0,0.0,0.0,0.0,1013,173,11.168936896632914,69.55436759281065,43.33994849305394,11.018514637783534,10.12487245899066,8.900890447694211,3,3595,0,4,2,4,3.0,2,0,1109,647.0,185,1
10019050,65,3,33869,341324.3333333333,2804,0.3772893772893773,0.27106227106227104,0.0,0.0,0.0,546,70,1.6983630589430891,94.18702934451221,91.9570579268293,-0.1571410060975611,2.4562500000000003,3.0,3,108,6,6,1,19,19.0,19,2,427,427.0,427,1
1002926,44,2,5663,496481.5,5663,0.4921369102682701,0.4921369102682701,0.0,0.0,0.0,1081,105,5.914344360902251,79.54358004385966,75.87229714912283,4.283957017543861,3.841666666666667,3.1976423537605236,2,26442,5,7,2,4,3.0,2,1,1433,849.5,266,0
10029650,40,3,139009,418259.3333333333,128469,0.5647249190938511,0.0,0.23300970873786409,0.33171521035598706,0.0,618,53,-1.2497177514097753,77.5163728212577,74.74614960697198,1.2156534357911823,2.950657894736842,3.6846531968814578,4,6,6,-3,3,4,1.6666666666666667,0,0,431,201.0,78,0
10030420,81,3,78258,355551.0,1095,0.9062135922330097,0.0,0.0,0.13805825242718447,0.7681553398058253,5150,76,16.01564298245614,41.617201754385974,28.97911842105264,13.585778070175438,9.424561403508772,8.533985905294664,4,1122,4,1,0,0,0,0,7,0,0,0,0
10042618,51,4,50633,261329.75,3197,0.7392703862660944,0.7392703862660944,0.0,0.0,0.0,932,43,6.970763157894735,61.79263157894739,43.58846491228072,5.327131578947368,5.726315789473684,4.3693063937629155,5,1318,4,1,2,1,1.0,1,0,560,432.5,305,1
10046762,30,4,57549,262864.5,1257,0.8231540565177757,0.8231540565177757,0.0,0.0,0.0,1097,41,0.6123648648648636,100.52706081081082,62.23513513513514,0.9664189189189187,4.5,3.0,5,119,1,4,2,4,2.0,0,4,781,632.0,483,1
10047356,46,3,1212,329536.6666666667,98,0.5021367521367521,0.5021367521367521,0.0,0.0,0.0,468,47,4.347104945054946,75.37179876373628,65.18798626373628,2.8762549450549457,3.425,3.0,5,447,2,1,2,0,0.0,0,8,1033,563.0,93,0
10057382,76,5,203975,286698.0,18191,0.0,0.0,0.0,0.0,0.0,243,51,4.469591836734693,71.81757653061226,6.285459183673471,2.8621428571428567,4.9,3.0,6,380,0,4,3,1,0.6666666666666666,0,2,580,361.0,117,1
10060674,22,3,1016740,831022.6666666666,489028,0.6452648475120385,0.0,0.0,0.6452648475120385,0.0,623,43,-1.954986111111114,88.70625000000001,58.95625000000001,-0.03695833333333276,2.1,3.0,0,652,2,2,2,7,3.5,0,1,328,266.0,204,1
10065536,39,5,134456,244507.4,4189,0.0,0.0,0.0,0.0,0.0,726,135,5.37516422704899,46.68063420222357,46.64974177433895,7.6881547261332415,9.033077924679489,4.944514952754663,0,230,0,3,3,4,2.0,1,3,2114,1109.0,469,1
10066020,60,3,24508,338017.6666666667,2245,0.20933521923620935,0.20933521923620935,0.0,0.0,0.0,707,107,8.07319669365722,64.89691295546561,60.59963225371122,12.143395748987855,11.506432748538012,6.872983346207417,0,89,2,4,3,6,4.0,1,3,1103,623.6666666666666,233,1
10069864,66,5,514084,310306.4,1596,0.7662897145934303,0.5078082929456113,0.0,0.10527732902530965,0.0,3714,164,6.711437911047282,64.7027414431272,64.5825254725743,7.4913986209103385,5.889162790334666,6.287774440897493,1,590,16,4,1,1,1.0,1,2,140,140.0,140,0
10072367,94,4,50633,263305.25,3615,0.0,0.0,0.0,0.0,0.0,359,52,20.421114285714285,20.72903571428573,8.913785714285726,15.082742857142854,11.214285714285715,9.611596133733247,1,1093,0,14,1,32,32.0,32,0,1135,1135.0,1135,1
10072384,22,3,18958,335481.6666666667,187,0.0,0.0,0.0,0.0,0.0,274,50,8.234866220735785,76.14676421404684,38.81464882943144,11.022591973244145,10.669565217391305,5.738612787525831,1,1271,0,0,1,2,2.0,2,0,298,298.0,298,1
10074766,57,4,770768,449087.0,292,0.6704089815557338,0.6704089815557338,0.0,0.0,0.0,1247,69,34.31853993055555,17.650468750000016,16.87140625000002,31.232119791666666,13.052777777777779,7.364664130119293,1,5474,4,1,2,1,1.0,1,2,635,390.0,145,1
10082677,40,5,770768,358506.6,4122,0.9384732244587922,0.05545005696923661,0.0,0.0,0.0,2633,28,10.425892857142859,51.41446428571431,40.31857142857146,6.915535714285715,7.7857142857142865,7.675104460629539,2,990,4,0,4,1,0.25,0,9,303,201.75,108,1
10086741,43,3,48545,346594.6666666667,3939,0.5735099337748344,0.5735099337748344,0.0,0.0,0.0,755,55,9.801673789173789,71.12000000000003,35.85222222222224,6.798098290598292,5.909971509971511,6.517630503187899,2,117,1,0,1,2,2.0,2,0,236,236.0,236,1
10110581,36,5,93115,217321.2,1157,0.0,0.0,0.0,0.0,0.0,855,121,28.53632088278101,3.16493079657414,5.259064319301412,25.995095933161668,12.757749290938946,8.89898933711287,3,3334,0,0,1,2,2.0,2,0,272,272.0,272,1
10115310,70,2,770768,879034.0,770768,0.8592859285928592,0.6237623762376238,0.0,0.23552355235523553,0.0,3333,88,5.773118926495014,85.0399174626246,83.55701567691031,5.790356987126247,5.713392857142857,3.826449516716656,3,118,4,0,1,0,0.0,0,1,84,84.0,84,1
10120696,53,2,4135,495717.5,4135,0.0,0.0,0.0,0.0,0.0,394,65,22.69493189382302,21.251744082530397,18.623981985756203,19.262844487501745,7.316233766233767,7.107919181288747,4,904,0,0,1,0,0.0,0,0,389,389.0,389,1
10125910,72,2,93115,540207.5,93115,0.9330922242314648,0.9330922242314648,0.0,0.0,0.0,553,8,3.4742857142857133,90.95857142857145,2.3114285714285714,0.9100000000000001,2.8000000000000003,3.0,4,207,2,0,1,0,0.0,0,0,397,397.0,397,0
10130047,23,3,1016740,668114.0,302,0.0,0.0,0.0,0.0,0.0,1108,204,10.15214455647358,63.555197615027254,58.788922413414355,10.28251680107527,9.016872959045582,7.312687159105904,4,1543,0,3,1,3,3.0,3,0,2617,2617.0,2617,1
10136193,36,1,0,987300.0,987300,0.7358333333333333,0.7358333333333333,0.0,0.0,0.0,1200,72,-1.2559414062500023,109.85539062500001,108.62671875000001,-2.5417929687500003,3.0250000000000004,3.0,5,116,4,3,2,2,1.5,1,6,839,696.0,553,0
10136567,23,3,14815,334153.3333333333,345,0.8863322595490106,0.6976530142659917,0.0,0.18867924528301888,0.0,6519,148,6.00046693225357,64.73284221525603,52.7373497910136,6.907953043364682,8.284099616858239,6.345729931368153,5,7275,6,0,1,1,1.0,1,1,136,136.0,136,0
10154865,34,4,770768,452240.25,11118,0.07152875175315568,0.07152875175315568,0.0,0.0,0.0,713,123,4.432536880896227,83.27360082547172,75.57266332547172,3.7587349351415096,5.3418042452830194,3.9267146560194215,6,82,4,0,2,1,0.5,0,4,350,278.0,206,1
10158053,62,2,4599,495949.5,4599,0.7958333333333333,0.7958333333333333,0.0,0.0,0.0,960,38,6.011578947368417,80.43622807017547,5.186842105263157,4.239122807017544,6.1192982456140355,6.16227766016838,6,1626,1,0,1,2,2.0,2,1,101,101.0,101,1
10158272,50,4,1016740,624987.0,6880,0.0,0.0,0.0,0.0,0.0,498,100,4.028589743589739,90.7156153846154,55.31938461538462,3.2179670329670333,5.659780219780219,4.224744871391589,6,8,0,1,1,1,1.0,1,3,688,688.0,688,1
10160221,89,3,12686,333667.6666666667,1017,0.0,0.0,0.0,0.0,0.0,671,111,8.128955419580418,77.51628086756995,76.56065586756995,4.899922421328672,6.154800407925409,5.399297976672251,0,110,0,0,1,0,0.0,0,1,190,190.0,190,0
