question_id,id,first posted,same day as question,total code %,java %,json %,xml %,stack traces %,length,words count,day of week,reputation,intercalations,score,number of comments,accepted,max comment length,avg comment length,min comment length
10002610,11751135,1,0,0.7220204688015847,0.7220204688015847,0.0,0.0,0.0,3029,157,Wednesday,215,5,2,0,1,-,-,-
10003995,10004007,1,1,0.22878228782287824,0.22878228782287824,0.0,0.0,0.0,271,40,Wednesday,7669,2,0,1,0,72,72.0,72
10003995,10004044,0,1,0.0,0.0,0.0,0.0,0.0,207,35,Wednesday,31656,0,1,2,1,103,66.0,29
10003995,10004046,0,1,0.5627802690582959,0.5627802690582959,0.0,0.0,0.0,446,34,Wednesday,1941,1,0,0,0,-,-,-
10009006,10009115,1,1,0.0,0.0,0.0,0.0,0.0,406,72,Wednesday,9653,0,2,6,0,209,127.66666666666667,51
10011587,10011868,1,1,0.49489795918367346,0.0,0.0,0.49489795918367346,0.0,588,44,Wednesday,19849,2,1,7,1,323,154.28571428571428,87
10013250,10018400,1,1,0.5989847715736041,0.0,0.0,0.5989847715736041,0.0,1379,103,Wednesday,2322,5,0,9,0,286,152.22222222222223,39
10013250,12816195,0,0,0.0,0.0,0.0,0.0,0.0,1268,208,Wednesday,21,0,2,0,0,-,-,-
10013250,22510379,0,0,0.8225806451612904,0.0,0.0,0.8225806451612904,0.0,186,6,Wednesday,7662,1,0,0,1,-,-,-
10015647,10016232,1,1,0.0,0.0,0.0,0.0,0.0,185,33,Wednesday,2857,0,4,0,0,-,-,-
10015647,10016239,0,1,0.8412984670874661,0.8088367899008115,0.0,0.0,0.0,1109,36,Wednesday,279643,4,2,4,1,559,267.0,108
10019050,10019105,1,1,0.6768149882903981,0.6768149882903981,0.0,0.0,0.0,427,25,Wednesday,27807,2,19,1,1,70,70.0,70
1002926,1002967,0,1,0.0,0.0,0.0,0.0,0.0,266,40,Tuesday,15083,0,2,1,0,75,75.0,75
1002926,1002957,1,1,0.7697138869504536,0.7697138869504536,0.0,0.0,0.0,1433,63,Tuesday,10062,1,4,1,0,127,127.0,127
10029650,10029689,1,1,0.0,0.0,0.0,0.0,0.0,78,13,Thursday,826,0,4,0,0,-,-,-
10029650,10029690,0,1,0.0,0.0,0.0,0.0,0.0,94,22,Thursday,86005,0,1,0,0,-,-,-
10029650,10029947,0,1,0.42691415313225056,0.0,0.42691415313225056,0.0,0.0,431,42,Thursday,53096,2,0,0,0,-,-,-
10042618,10042762,1,1,0.3125,0.3125,0.0,0.0,0.0,560,67,Friday,3967,4,1,2,1,53,39.0,25
10042618,10042865,0,1,0.0,0.0,0.0,0.0,0.0,305,55,Friday,1835,0,1,1,0,27,27.0,27
10046762,10046931,1,1,0.6274007682458387,0.6274007682458387,0.0,0.0,0.0,781,50,Friday,879,1,4,1,1,38,38.0,38
10046762,10047736,0,1,0.6811594202898551,0.6811594202898551,0.0,0.0,0.0,483,26,Friday,26930,2,0,0,0,-,-,-
10047356,10048012,0,1,0.45161290322580644,0.45161290322580644,0.0,0.0,0.0,93,10,Friday,4670,1,0,0,0,-,-,-
10047356,10047492,1,1,0.0,0.0,0.0,0.0,0.0,1033,205,Friday,1399,0,0,2,0,78,58.0,38
10057382,10057457,1,1,0.0,0.0,0.0,0.0,0.0,117,20,Saturday,364,0,1,0,0,-,-,-
10057382,10059521,0,0,0.0,0.0,0.0,0.0,0.0,580,94,Sunday,2479,0,0,0,0,-,-,-
10057382,10059927,0,0,0.0,0.0,0.0,0.0,0.0,386,54,Sunday,3050,0,1,0,1,-,-,-
10060674,10060733,1,1,0.649390243902439,0.649390243902439,0.0,0.0,0.0,328,20,Sunday,1101,2,7,2,1,213,133.0,53
10060674,15675386,0,0,0.0,0.0,0.0,0.0,0.0,204,34,Thursday,86,0,0,0,0,-,-,-
10065536,10065578,1,1,0.1922043010752688,0.0,0.0,0.0,0.0,744,103,Sunday,377313,2,4,9,1,264,148.22222222222223,19
10065536,10065668,0,1,0.7484008528784648,0.7484008528784648,0.0,0.0,0.0,469,20,Sunday,345,2,1,1,0,36,36.0,36
